"","crop","type","season","diameter","corolla","colour","nectar","b.system","s.pollination","inflorescence","composite","visitor","guild","tongue","body","sociality","feeding"
"14","Carum_carvi","herbaceous","summer",4,"OPEN","white","yes","insects","no","yes","no","Andrena_flavipes","ANDRENIDAE",NA,11,"no","polylectic"
"15","Coriandrum_sativum","arboreous","spriaut",NA,"OPEN","white","yes","insects","no","yes","no","Andrena_ovatula","ANDRENIDAE",NA,9,"no","oligolectic"
"16","Daucus_carota","herbaceous","summer",3,"OPEN","white","yes","insects","no","yes","no","Andrena_minutula","ANDRENIDAE",NA,6,"no","polylectic"
"17","Daucus_carota","herbaceous","summer",3,"OPEN","white","yes","insects","no","yes","no","Andrena_ovatula","ANDRENIDAE",NA,9,"no","oligolectic"
"18","Malus_domestica","arboreous","spring",35,"OPEN","white","yes","insects","no","yes","no","Andrena_chrysosceles","ANDRENIDAE",NA,9.5,"no","polylectic"
"19","Malus_domestica","arboreous","spring",35,"OPEN","white","yes","insects","no","yes","no","Andrena_coitana","ANDRENIDAE",NA,7.5,"no","polylectic"
"20","Malus_domestica","arboreous","spring",35,"OPEN","white","yes","insects","no","yes","no","Andrena_jacobi","ANDRENIDAE",NA,14,"no","polylectic"
"21","Malus_domestica","arboreous","spring",35,"OPEN","white","yes","insects","no","yes","no","Andrena_pubescens","ANDRENIDAE",NA,NA,"no","polylectic"
"22","Malus_domestica","arboreous","spring",35,"OPEN","white","yes","insects","no","yes","no","Andrena_wilkella","ANDRENIDAE",NA,10.5,"no","oligolectic"
"23","Prunus_avium","arboreous","spring",25,"OPEN","white","yes","insects","no","yes","no","Andrena_bicolor","ANDRENIDAE",NA,10,"no","polylectic"
"24","Prunus_avium","arboreous","spring",25,"OPEN","white","yes","insects","no","yes","no","Andrena_chrysosceles","ANDRENIDAE",NA,9.5,"no","polylectic"
"25","Prunus_avium","arboreous","spring",25,"OPEN","white","yes","insects","no","yes","no","Andrena_cineraria","ANDRENIDAE",NA,12,"no","polylectic"
"26","Prunus_avium","arboreous","spring",25,"OPEN","white","yes","insects","no","yes","no","Andrena_cingulata","ANDRENIDAE",NA,NA,"no","polylectic"
"27","Prunus_avium","arboreous","spring",25,"OPEN","white","yes","insects","no","yes","no","Andrena_dorsata","ANDRENIDAE",NA,9,"no","polylectic"
"28","Prunus_avium","arboreous","spring",25,"OPEN","white","yes","insects","no","yes","no","Andrena_eximia","ANDRENIDAE",NA,NA,"no","polylectic"
